Scenario,Month24 ARR,Month24 MRR,Average Retention,Average NRR,Average CAC Payback,Min ARR
base,2442876.94,203573.08,0.9901083333333333,1.0007666666666666,20.743333333333336,1998846.02
low_churn,2545856.49,212154.71,0.9902958333333333,1.0023416666666665,20.7375,2001855.5
high_churn,2032584.37,169382.03,0.9883708333333333,0.993775,22.638333333333332,1959666.34
recession,1795057.72,149588.14,0.9882416666666667,0.9897125000000001,22.864583333333332,1795057.72
competition,1979162.89,164930.24,0.9886166666666667,0.9933958333333335,22.437083333333334,1952655.13
saturation,2056843.55,171403.63,0.989525,0.9958583333333332,21.495833333333326,1971363.87
failed_price,2254285.92,187857.16,0.9898375,0.9979458333333334,21.067083333333333,1983042.73
slippage,2305589.55,192132.46,0.9897041666666665,1.0002708333333332,21.270833333333332,1996357.39
top_customer_loss,2066061.19,172171.77,0.9894374999999999,0.993525,21.50333333333333,1835672.52
stress,1330196.79,110849.73,0.9869249999999999,0.9785916666666669,24.36583333333333,1330196.79
