Scenario,Gross Churn Assumption,Billing Leakage,Month24 Effective MRR,Month24 ARR,Avg Net Churn Rate,Total Reactivations,Avg Reactivation Dampening %
churn_2.0%_leakage_2.0%,0.02,0.02,19010.13,228889.57,0.011295833333333333,257.03,0.3815208333333333
churn_2.0%_leakage_4.6%,0.02,0.0459,18507.72,222860.64,0.011295833333333333,257.03,0.3815208333333333
churn_2.0%_leakage_8.0%,0.02,0.08,17846.24,214922.94,0.011295833333333333,257.03,0.3815208333333333
churn_5.0%_leakage_2.0%,0.05,0.02,21932.84,264037.7,0.029008333333333334,686.77,0.3725916666666667
churn_5.0%_leakage_4.6%,0.05,0.0459,21353.19,257081.85,0.029008333333333334,686.77,0.3725916666666667
churn_5.0%_leakage_8.0%,0.05,0.08,20590.02,247923.77,0.029008333333333334,686.77,0.3725916666666667
churn_7.0%_leakage_2.0%,0.07,0.02,23949.64,288287.0,0.0413,1003.3500000000001,0.36719583333333333
churn_7.0%_leakage_4.6%,0.07,0.0459,23316.68,280691.54,0.0413,1003.3500000000001,0.36719583333333333
churn_7.0%_leakage_8.0%,0.07,0.08,22483.33,270691.34,0.0413,1003.3500000000001,0.36719583333333333
